start_date	end_date	session_time	cycleId
2024-11-10 15:05:03.225781	 2024-11-10 15:16:26.673903	 683.448122	 515.0
2024-11-10 15:16:26.673903	 2024-11-10 15:27:49.922068	 683.248165	 516.0
2024-11-10 15:27:49.922068	 2024-11-10 15:39:13.239505	 683.317437	 517.0
2024-11-10 15:39:13.239505	 2024-11-10 15:50:36.543492	 683.303987	 518.0
2024-11-10 15:50:36.543492	 2024-11-10 16:01:59.949590	 683.406098	 519.0
2024-11-10 16:01:59.949590	 2024-11-10 16:13:23.558044	 683.608454	 520.0
2024-11-10 16:13:23.558044	 2024-11-10 16:24:47.006860	 683.448816	 521.0
2024-11-10 16:24:47.006860	 2024-11-10 16:36:10.265416	 683.258556	 522.0
2024-11-10 16:36:10.265416	 2024-11-10 16:47:33.902471	 683.637055	 523.0
2024-11-10 16:47:33.902471	 2024-11-10 16:58:57.002928	 683.100457	 524.0
2024-11-10 16:58:57.002928	 2024-11-10 17:10:20.590692	 683.587764	 525.0
2024-11-10 17:10:20.590692	 2024-11-10 17:21:44.017562	 683.42687	 526.0
2024-11-10 17:21:44.017562	 2024-11-10 17:33:07.280016	 683.262454	 527.0
2024-11-10 17:33:07.280016	 2024-11-10 17:44:30.706571	 683.426555	 528.0
2024-11-10 17:44:30.706571	 2024-11-10 17:55:54.085935	 683.379364	 529.0
2024-11-10 17:55:54.085935	 2024-11-10 18:07:17.355898	 683.269963	 530.0
2024-11-10 18:07:17.355898	 2024-11-10 18:18:40.793652	 683.437754	 531.0
2024-11-10 18:18:40.793652	 2024-11-10 18:30:04.204371	 683.410719	 532.0
2024-11-10 18:30:04.204371	 2024-11-10 18:41:27.623013	 683.418642	 533.0
2024-11-10 18:41:27.623013	 2024-11-10 18:52:51.103839	 683.480826	 534.0
2024-11-10 18:52:51.103839	 2024-11-10 19:04:14.484403	 683.380564	 535.0
2024-11-10 19:04:14.484403	 2024-11-10 19:15:37.700937	 683.216534	 536.0
2024-11-10 19:15:37.700937	 2024-11-10 19:27:00.975688	 683.274751	 537.0
2024-11-10 19:27:00.975688	 2024-11-10 19:38:24.530170	 683.554482	 538.0
2024-11-10 19:38:24.530170	 2024-11-10 19:49:47.828840	 683.29867	 539.0
2024-11-10 19:49:47.828840	 2024-11-10 20:01:11.330475	 683.501635	 540.0
2024-11-10 20:01:11.330475	 2024-11-10 20:12:34.669412	 683.338937	 541.0
2024-11-10 20:12:34.669412	 2024-11-10 20:23:57.963193	 683.293781	 542.0
2024-11-10 20:23:57.963193	 2024-11-10 20:35:21.381404	 683.418211	 543.0
2024-11-10 20:35:21.381404	 2024-11-10 20:46:44.826317	 683.444913	 544.0
2024-11-10 20:46:44.826317	 2024-11-10 20:58:08.149758	 683.323441	 545.0
2024-11-10 20:58:08.149758	 2024-11-10 21:09:31.600859	 683.451101	 546.0
2024-11-10 21:09:31.600859	 2024-11-10 21:20:55.027819	 683.42696	 547.0
2024-11-10 21:20:55.027819	 2024-11-10 21:32:18.344987	 683.317168	 548.0
2024-11-10 21:32:18.344987	 2024-11-10 21:43:41.546380	 683.201393	 549.0
2024-11-10 21:43:41.546380	 2024-11-10 21:55:05.087090	 683.54071	 550.0
2024-11-10 21:55:05.087090	 2024-11-10 22:06:28.516279	 683.429189	 551.0
2024-11-10 22:06:28.516279	 2024-11-10 22:17:51.820567	 683.304288	 552.0
2024-11-10 22:17:51.820567	 2024-11-10 22:29:15.102670	 683.282103	 553.0
2024-11-10 22:29:15.102670	 2024-11-10 22:40:38.468749	 683.366079	 554.0
2024-11-10 22:40:38.468749	 2024-11-10 22:52:01.743017	 683.274268	 555.0
2024-11-10 22:52:01.743017	 2024-11-10 23:03:25.525190	 683.782173	 556.0
2024-11-10 23:03:25.525190	 2024-11-10 23:14:48.702259	 683.177069	 557.0
2024-11-10 23:14:48.702259	 2024-11-10 23:26:12.056479	 683.35422	 558.0
2024-11-10 23:26:12.056479	 2024-11-10 23:37:35.409951	 683.353472	 559.0
2024-11-10 23:37:35.409951	 2024-11-10 23:48:58.667831	 683.25788	 560.0
2024-11-10 23:48:58.667831	 2024-11-11 00:00:22.119625	 683.451794	 561.0
2024-11-11 00:00:22.119625	 2024-11-11 00:11:45.790599	 683.670974	 562.0
2024-11-11 00:11:45.790599	 2024-11-11 00:23:08.937472	 683.146873	 563.0
2024-11-11 00:23:08.937472	 2024-11-11 00:34:32.367324	 683.429852	 564.0
2024-11-11 00:34:32.367324	 2024-11-11 00:45:55.652124	 683.2848	 565.0
2024-11-11 00:45:55.652124	 2024-11-11 00:57:19.021325	 683.369201	 566.0
2024-11-11 00:57:19.021325	 2024-11-11 01:08:42.482239	 683.460914	 567.0
2024-11-11 01:08:42.482239	 2024-11-11 01:20:05.726740	 683.244501	 568.0
2024-11-11 01:20:05.726740	 2024-11-11 01:31:29.301617	 683.574877	 569.0
2024-11-11 01:31:29.301617	 2024-11-11 01:42:52.752462	 683.450845	 570.0
2024-11-11 01:42:52.752462	 2024-11-11 01:54:15.966905	 683.214443	 571.0
2024-11-11 01:54:15.966905	 2024-11-11 02:05:39.440384	 683.473479	 572.0
2024-11-11 02:05:39.440384	 2024-11-11 02:17:02.883886	 683.443502	 573.0
2024-11-11 02:17:02.883886	 2024-11-11 02:28:26.418310	 683.534424	 574.0
2024-11-11 02:28:26.418310	 2024-11-11 02:39:49.616899	 683.198589	 575.0
2024-11-11 02:39:49.616899	 2024-11-11 02:51:12.922677	 683.305778	 576.0
2024-11-11 02:51:12.922677	 2024-11-11 03:02:36.298038	 683.375361	 577.0
2024-11-11 03:02:36.298038	 2024-11-11 03:13:59.737762	 683.439724	 578.0
